MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
7799_CyanoOrg,CyanoOrg,568.42773,15.578,NA,NA,NA,NA,NA,NA,0.079701569,0.037784825,0.100024462,0.04160868,0.044061916,0.027008185
7800_CyanoOrg,CyanoOrg,568.42786,14.012,0.001523052,0.001064974,0.001212689,0.00339724,0.004911192,5.47E-04,0.138895294,0.063197898,0.062038118,0.010838279,0.011645308,0.008493022
7818_CyanoOrg,CyanoOrg,569.43213,15.06,NA,NA,NA,2.33E-04,NA,NA,NA,NA,NA,0.003019117,NA,NA
7819_CyanoOrg,CyanoOrg,569.43433,14.288,0.005110069,0.005200666,0.004896283,0.012740317,0.023178441,9.72E-04,0.325228,NA,NA,0.297153137,0.198070832,0.146335198
7820_CyanoOrg,CyanoOrg,569.43536,15.137,1.59E-04,1.38E-04,1.78E-04,6.65E-04,7.67E-04,1.67E-05,0.036684667,NA,0.075930995,0.010458036,0.013883936,0.007919944
7821_CyanoOrg,CyanoOrg,569.43567,15.272,8.06E-05,7.13E-05,1.05E-04,5.48E-04,8.45E-04,NA,NA,NA,NA,0.007744782,0.011768256,0.008633105
7822_CyanoOrg,CyanoOrg,569.44147,12.244,7.05E-05,NA,NA,3.02E-04,1.52E-04,4.51E-05,0.049942941,0.033949838,0.009223011,0.012124036,0.003958136,0.004634386
7823_CyanoOrg,CyanoOrg,569.51379,12.06,0.002040469,0.001328765,0.001799616,0.002833062,0.006398448,NA,NA,NA,NA,NA,NA,NA
7824_CyanoOrg,CyanoOrg,569.5141,12.091,0.001873901,0.001328765,0.001681874,0.003147773,0.006023524,1.59E-04,0.704679451,0.140138598,0.493845538,0.12252736,0.131648384,0.106215111
7825_CyanoOrg,CyanoOrg,569.51416,13.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005521953,NA,NA
7826_CyanoOrg,CyanoOrg,569.5144,13.8,NA,NA,NA,NA,NA,NA,0.014090235,NA,0.001422285,0.009284548,0.00726604,0.003237512
7827_CyanoOrg,CyanoOrg,570.29498,8.633,1.33E-05,1.29E-05,1.33E-05,NA,NA,NA,0.00207902,3.12E-04,NA,1.74E-04,1.19E-04,5.25E-05
7829_CyanoOrg,CyanoOrg,570.37866,12.128,1.18E-05,1.31E-05,1.20E-05,3.28E-05,2.60E-05,1.36E-05,NA,NA,NA,NA,NA,NA
7836_CyanoOrg,CyanoOrg,570.44312,15.233,9.66E-05,9.59E-05,1.34E-04,1.33E-04,1.60E-04,NA,NA,NA,NA,0.001789208,NA,9.08E-04
7840_CyanoOrg,CyanoOrg,570.47314,13.234,0.001888339,NA,0.001474411,0.002564793,0.003828967,NA,NA,NA,NA,NA,NA,NA
7841_CyanoOrg,CyanoOrg,570.47321,13.717,2.00E-05,1.85E-05,NA,2.56E-04,8.51E-05,3.39E-05,0.025825059,0.015136442,0.004261855,0.017849188,0.00431802,0.007283037
7842_CyanoOrg,CyanoOrg,570.47321,13.616,2.05E-05,2.04E-05,NA,2.72E-04,9.53E-05,3.53E-05,0.02167102,0.010241078,0.003323656,0.01313002,0.002976064,0.00458125
7843_CyanoOrg,CyanoOrg,570.48822,13.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003001102,0.003063396,0.003112423
7848_CyanoOrg,CyanoOrg,571.40613,16.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42E-04,4.11E-04
7853_CyanoOrg,CyanoOrg,571.45679,11.743,NA,NA,NA,4.44E-05,NA,NA,0.011019432,0.004830203,0.002150029,0.004332076,0.001422051,0.001358163
7854_CyanoOrg,CyanoOrg,571.45697,11.683,NA,NA,NA,NA,NA,NA,0.011157294,0.005310997,0.001787688,0.002125624,6.69E-04,7.33E-04
7860_CyanoOrg,CyanoOrg,572.31049,8.966,2.12E-05,1.98E-05,2.00E-05,3.15E-04,2.92E-04,4.49E-05,0.004809961,9.58E-04,0.001218226,0.008518142,0.006019004,0.003251765
7861_CyanoOrg,CyanoOrg,572.40137,9.377,5.33E-05,4.86E-05,3.93E-05,9.65E-04,0.001229689,1.47E-04,NA,NA,NA,NA,NA,NA
7866_CyanoOrg,CyanoOrg,572.45264,12.846,NA,NA,NA,NA,NA,NA,0.005328392,0.001154232,9.08E-04,2.25E-04,2.92E-04,2.42E-04
7867_CyanoOrg,CyanoOrg,572.48895,13.36,2.92E-05,2.31E-05,1.42E-05,9.13E-05,5.20E-05,1.29E-05,0.020123216,0.009331456,0.002585242,0.009425812,0.002813036,0.003547552
7868_CyanoOrg,CyanoOrg,572.81207,13.859,NA,NA,NA,0.001052368,7.32E-04,2.31E-06,NA,NA,NA,NA,NA,NA
7869_CyanoOrg,CyanoOrg,573.23224,8.59,2.74E-06,2.45E-06,2.58E-06,2.02E-05,1.36E-05,2.36E-06,NA,NA,NA,NA,NA,NA
7870_CyanoOrg,CyanoOrg,573.25061,14.005,NA,1.61E-05,2.37E-05,1.31E-05,1.60E-05,NA,NA,NA,NA,NA,NA,NA
7876_CyanoOrg,CyanoOrg,573.39398,14.473,NA,NA,NA,NA,NA,NA,0.005939536,NA,NA,0.003791355,0.002164417,0.002169209
7878_CyanoOrg,CyanoOrg,573.4129,13.482,NA,NA,NA,4.72E-05,NA,NA,0.014840323,0.005198605,0.002725883,0.004836897,0.00125915,0.001764927
7881_CyanoOrg,CyanoOrg,573.48865,12.823,1.99E-05,3.27E-05,2.31E-05,8.21E-04,0.001348959,5.86E-05,0.001079765,NA,NA,0.00597632,0.005461164,0.003124833
7888_CyanoOrg,CyanoOrg,574.32611,9.272,1.00E-05,9.61E-06,8.48E-06,9.00E-05,1.11E-04,2.21E-05,0.006245961,0.001033612,9.76E-04,0.004094701,0.002765308,0.001630377
7889_CyanoOrg,CyanoOrg,574.32617,9.36,NA,2.30E-05,2.66E-05,9.16E-05,1.13E-04,2.78E-05,0.02935549,0.005811429,0.006331774,0.007497437,0.005377844,0.003185114
